i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
0034-001-001,2019-20,Dar Es Salaam,0.652258292705857,0.7043674444561263,0.23006685872600535,0.04795466837009984,0.10378231019914011,0.09253440311202007,0.5751672228234866,0.5658304771232721,0.09671387946339094,0.6405333063564713,0.4044459560438132,0.5609875715434702
0036-001-001,2019-20,Mainland Other Urban,0.8100260625539523,0.9249647791806835,0.2540358054590282,0.0708025614708949,0.1777124998955638,0.07640711835876324,0.8370166787999038,0.8463851425047522,0.12634774657713513,0.9508316111247287,0.62733700785343,0.7697578520280911
0038-001-001,2019-20,Mainland Other Urban,0.6474008567546422,0.732361862884973,0.27464041193230004,0.07341623098672075,0.13366183967733505,0.08673912375724241,0.6602293135140335,0.8005707431242713,0.11797990031635858,0.7093549442362084,0.4811686409762718,0.6029914311814105
0039-001-001,2019-20,Mainland Rural,1.0274475013808275,1.1163161875611116,0.5019713056639181,0.1289371788581371,0.1748378216381979,0.17034780059259355,0.9436712576202524,1.3571576255338145,0.25222390575876935,0.9676067942073853,0.6778332803004958,0.8966558696452139
0040-001-001,2019-20,Mainland Other Urban,0.8582392926536894,0.94427486142332,0.23226739106732366,0.06505739895365348,0.19160467264690692,0.07021093358053992,0.873975566913332,0.7565352653964155,0.13071513461201362,1.0296079677887442,0.6667532514302581,0.7927521038407409
0041-001-001,2019-20,Mainland Other Urban,0.8986270651993769,1.024778231674632,0.27290428570687136,0.06640133911883583,0.20947130343064307,0.09765551917502009,0.9644363591456057,0.8575462728508465,0.14619072706022143,1.1076121502557044,0.7265247627099791,0.8644512472960777
0041-004-001,2019-20,Mainland Other Urban,0.9583916734153424,1.1154915114201858,0.47501144219301605,0.13148375199258322,0.1775858230151361,0.1431444069729688,0.9326980230113502,1.4067350552716185,0.1982938754554099,0.9517805922954434,0.6697000881616256,0.8912846294358928
0042-001-001,2019-20,Dar Es Salaam,0.6554811315405084,0.726444974989203,0.2317024812151407,0.05555938364946573,0.12185399551945582,0.083202751475869,0.625642877824253,0.6589943338931109,0.10964582553222557,0.6937469744784087,0.453541560133356,0.5920108239605896
0042-001-002,2019-20,Mainland Rural,1.2802322151633319,1.4648149937239665,0.656120001114184,0.1666883817039571,0.25808057823827185,0.2206197565202451,1.2827293443546237,1.7337435852232663,0.2760323416195207,1.3541073729444986,0.9394433955860221,1.1804561086888898
0043-001-001,2019-20,Mainland Rural,0.6529879826731981,0.6936552243810905,0.17094891897725878,0.04999332328626036,0.15669714071912652,0.04830222938720516,0.6817664593522507,0.5206155813346046,0.09407154528465117,0.8220806841926173,0.52796680789305,0.5935352163689364
0044-001-001,2019-20,Mainland Other Urban,0.6440492175723286,0.7282193317150264,0.27067706435411015,0.07251130528032713,0.1337190938760536,0.08526224446179426,0.6580697788047403,0.7910903717275348,0.11665424723876981,0.7089851742048471,0.48033653064657883,0.6002313472597562
0045-001-001,2019-20,Mainland Rural,0.7360060477442053,0.8073399714415135,0.31938703169481797,0.083238140315916,0.1372860899389976,0.10488737818747068,0.7059029468327919,0.8768218855497895,0.14497482441088136,0.7527853168105745,0.5089165631067099,0.655538129942488
0046-001-001,2019-20,Mainland Rural,0.48970829109075514,0.4658246579583233,0.10953661574590068,0.02518448925206457,0.08792620947819395,0.04100493379043567,0.42956094866068534,0.22832729234445084,0.06054529434523048,0.53128064551354,0.31757340754377567,0.38967978163822886
0047-001-001,2019-20,Mainland Other Urban,0.5981664721763862,0.6088000473073316,0.08671680119433396,0.01865490665361176,0.1647421836814584,0.03572584688999539,0.6665809515272115,0.2356151654475351,0.07046374775943907,0.8572389542028648,0.5307980997493198,0.5471197583457011
0048-001-001,2019-20,Mainland Rural,1.0351768165032014,1.1313272141656736,0.36981129822255404,0.08967845999499048,0.22678661694419677,0.13405677245742814,1.0598124455536089,1.0392862490401886,0.20383778939724662,1.1982290043724466,0.798218555569387,0.9477708916299452
0049-001-001,2019-20,Mainland Rural,0.858330927629404,0.8925884884477875,0.12566764279274692,0.03191216626032679,0.24365380449245727,0.04527650546429121,0.9752997021997741,0.4037130409419627,0.11218748140258263,1.2473055150291927,0.7826200012511522,0.8020652319279761
0050-001-001,2019-20,Mainland Rural,0.5574456275818455,0.5898898237512153,0.08412993612267496,0.024279565535101678,0.140707604843117,0.025929269691163985,0.5995048653242852,0.326026426602167,0.07510457475132035,0.74446579230615,0.46888874195989316,0.5174710110666668
0051-001-001,2019-20,Mainland Rural,1.2846996766410124,1.403306702369771,0.7462231105474807,0.1805586703575302,0.23784703737810284,0.2683147809748428,1.2242696486436115,1.7861338241422695,0.344036636516569,1.257629082033817,0.8925357651997022,1.123112348005373
0051-001-002,2019-20,Dar Es Salaam,1.0118725647491011,1.1672847234171513,0.6183592158239343,0.13252566867497376,0.1527283040979189,0.2406237250792098,0.9204883328462354,1.4193704960266051,0.1985357150192276,0.8980699466825821,0.620226309383484,0.9000639019459179
0051-001-003,2019-20,Dar Es Salaam,0.7966311934207164,0.8723567211451692,0.49403888801438517,0.11895896542458015,0.10167143684698134,0.17382120921026176,0.6712531735372118,1.168619348306615,0.17361894474140788,0.6266971761445916,0.44024116993247464,0.6682680280460382
0055-001-001,2019-20,Mainland Rural,1.359154948266946,1.5413412295314362,0.5086984243326929,0.1332503503740662,0.31611703333827196,0.16727190923462823,1.4281450653651524,1.4751007755944514,0.2567467061352676,1.634938439984061,1.0953979660654953,1.2820427004197246
0055-003-001,2019-20,Mainland Rural,0.8403527254043909,0.9375662037319812,0.23426303737563825,0.06604173092876814,0.20562413839811197,0.0702607940565135,0.9112184053155666,0.7790235651896048,0.13023791985198993,1.066578038498254,0.6979125030629039,0.8010321238207561
0056-001-001,2019-20,Mainland Rural,1.118053969000966,1.1805064334318647,0.6986198032090452,0.17227960156164024,0.21243749186382835,0.2459944382498252,1.0618899365320362,1.56518923139894,0.31400087047467407,1.0970970106898505,0.7818682342458712,0.9458596008141672
0057-001-001,2019-20,Mainland Rural,1.1123971610428938,1.229599267697862,0.3713490457144916,0.10108600935189714,0.24170406949599543,0.11951586023020801,1.1153635083768885,1.143158681230823,0.22751477813283688,1.2825653685921137,0.8571067632141065,1.0223784208169955
0058-001-001,2019-20,Mainland Rural,0.6783975190628072,0.7340938973107405,0.1952083674786444,0.05170170107092536,0.15044221330687246,0.06334596337943295,0.7009414214323245,0.611877410819211,0.10350100469042824,0.8049476224285338,0.5234879089469249,0.6233783497721926
0059-001-001,2019-20,Mainland Rural,0.62698751185539,0.6562635905982396,0.13435316525812105,0.036034780894076066,0.15762473667170382,0.042978622643812484,0.6772142561252203,0.41439818345961016,0.07902319632527488,0.8260873975439718,0.522930352486553,0.5749324944570834
0060-001-001,2019-20,Mainland Rural,0.8745590160130013,0.9259287817065698,0.3880147111382215,0.09258364374973628,0.17118015367167533,0.14081475786827694,0.8453383786713374,0.9566359378198999,0.17922219291425384,0.920734042828716,0.6194495830368588,0.7601554863411694
0062-001-001,2019-20,Mainland Rural,0.6874687890145602,0.7284660864052538,0.18148027596388397,0.04507642086667023,0.152901487163817,0.06499869479285818,0.7049870104148493,0.5496319777867179,0.116434793255253,0.8224483011034955,0.531109593074992,0.6222789438321861
0062-001-003,2019-20,Mainland Rural,0.6787253445217987,0.7223057353932273,0.20519572800999822,0.053153364619084285,0.16776787761856632,0.06848690148859232,0.7320678458490797,0.5704211721445013,0.10937223349159221,0.8666058357149551,0.5627256370703821,0.6237736754177431
0062-001-004,2019-20,Mainland Rural,0.900189996722988,0.9825859889297006,0.4068688922359683,0.09670134091683097,0.18321951852165522,0.14807133247468376,0.9001684837517151,1.0214021768900567,0.18740342245642955,0.9789801901147076,0.6600202926134638,0.8086169708779484
