i,t,m,Beef,Bread,Coconuts,Eggs,Maize (flour),Plantains,Rice (husked),Salt,Soft drinks,Sugar,Sweets,Tea (dry)
0059-001-001,2019-20,Mainland Rural,0.8239320623581174,0.6345283256254495,1.2509560704432914,0.23647824951471885,7.797440698062496,3.2926140250891383,3.1840633572353916,0.22119801668661682,0.8191540037653784,0.5681059332513062,0.016338248600683718,0.019595491376416158
0060-001-001,2019-20,Mainland Rural,1.311302132312362,1.0885249265136994,2.7355967695170507,0.486064129627841,6.201499038018517,4.949939918887211,4.104342136507984,0.2787497254890642,2.1833148139356253,1.2433432023045603,0.05313052024734164,0.040042414397299234
0062-001-001,2019-20,Mainland Rural,1.1688500609212806,0.7432319350185184,2.169470426476256,0.29581401180911043,7.431529128499384,4.247139280345444,3.872174116160208,0.2633641749300364,1.2203412282924029,0.8506008910895573,0.013903068327067041,0.033909095035999426
0062-001-003,2019-20,Mainland Rural,0.6208750448315189,0.46274587625115104,1.1483361770192304,0.20929137325710617,4.859854433289658,2.113727226926304,1.9197190570128515,0.1996024992962279,0.7863792139080478,0.4413947531114996,0.020836556449687023,0.017864195162622117
0062-001-004,2019-20,Mainland Rural,0.7241047648218835,0.5591767959272818,1.4141050108992024,0.2538410199168488,3.330330911467983,1.7736668211056619,2.0548697709565578,0.19413608367189228,1.1495255254438834,0.509788360755006,0.03198979269064481,0.021001957653135377
0062-004-001,2019-20,Mainland Rural,1.425866936415173,0.6071446016036581,2.8197380204894102,0.5021294445364662,5.13100085300829,3.164167426867819,4.190015095518125,0.32935788912204844,1.9946492046269544,1.282194841532004,0.07024088658936793,0.04137653397233517
0063-001-003,2019-20,Dar Es Salaam,0.6020687695207234,0.8282457498857332,0.8093736401681273,0.20671710149958158,1.8775201381946418,0.8800261980007394,1.3242802371039128,0.14133187844308195,1.0671841160201512,0.27725345427893844,0.030924844074259685,0.015385126708755902
0065-001-001,2019-20,Mainland Rural,1.0432275501452117,0.7855898176750846,1.9557751598342719,0.3484358241500823,2.5758145061578746,2.2894209352557406,1.9842814975129475,0.21349833674231602,1.6929789729542588,0.684831694483701,0.08750511041701128,0.026485398176490548
0066-003-003,2019-20,Mainland Rural,0.8356284004297301,0.3753107922991326,1.2027890047170418,0.15256419158908194,7.933181521492558,2.6809891040966827,2.3665415444040234,0.21267926210109972,0.6613947428487594,0.5028967432535675,0.021486964517557015,0.018082337704086123
0066-003-006,2019-20,Mainland Other Urban,0.49713234754607744,0.6416551549381118,0.5373274790534142,0.15500032625365234,3.200872910726603,1.3284817679387664,1.292940436468502,0.13553253211725083,0.36238434326160984,0.22909997218189876,0.005912556868208332,0.010851596599515064
0067-001-001,2019-20,Mainland Rural,1.6604999858952707,1.0965195295203363,4.300752425694145,0.52799575860558,6.846062068675189,5.775144579255696,4.902265350568502,0.3028840762412174,3.089938827258088,1.3177200959624478,0.10190096160428387,0.04466173980839083
0067-001-002,2019-20,Mainland Rural,0.34546882682729985,0.4870492808443914,0.5853857610874382,0.09704652010681876,5.056661501297967,1.9777505900182468,0.8845014814362949,0.1322346656633053,0.3029393038351481,0.19099182007820936,0.008644720618776646,0.008507628139757214
0067-004-001,2019-20,Mainland Rural,0.9802159309261128,0.7819531158424902,1.255803267031919,0.23510186478750753,10.13287584308013,4.576871822064571,2.9861584598959303,0.2152063606084283,0.6079950701274967,0.5212592019182533,0.011672469401023048,0.012866051016592557
0069-002-001,2019-20,Mainland Rural,1.003795335087002,0.5705504582145784,1.6659375283273306,0.3233135428029801,6.56731813454865,4.074507974055703,3.714839852158338,0.2778361267284744,0.8491904097670836,0.7281964779878157,0.03402567750328773,0.024814519951702935
0071-001-001,2019-20,Mainland Rural,1.1029629387193958,0.788714914251947,2.078419672832243,0.2653178718366267,4.574016428055095,3.894687868914242,2.491866359580984,0.21302659891416195,1.218728598310249,0.6360296875414855,0.03799957311739659,0.023345401989124062
0071-001-003,2019-20,Mainland Other Urban,0.6373792892082792,0.5802923171198818,0.8238708460440767,0.19661343641913354,2.3497112901132846,0.9739132697986546,1.149386253689067,0.15487094657080894,0.8424817029938504,0.2969682582374685,0.02633194545599229,0.01716410515077945
0072-001-001,2019-20,Mainland Other Urban,1.1618336550879242,1.3239600436164685,2.557744809704721,0.35850150059246644,7.117504966915162,4.495786533467084,3.7708476646959577,0.25879790913711764,1.4463040455154341,0.8199891832247587,0.04260229586755196,0.037165428103184524
0072-003-001,2019-20,Mainland Other Urban,1.49705095142325,0.6494576469795651,2.0311598636076402,0.36766150858499774,4.768309052897835,1.915545996643721,3.7326393365070385,0.24607517589244615,1.5684370211324732,0.8371257168353186,0.06168392336960794,0.033015493738082345
0073-001-001,2019-20,Mainland Rural,1.0426536192659344,0.9196977532174038,2.3403547881558397,0.49896727660113344,7.939735708006775,3.871169663685385,4.536298952034621,0.2992134842024216,2.0164406585286403,1.0535740448468258,0.0283712154774022,0.03390246037273992
0073-001-002,2019-20,Mainland Rural,1.044162378116301,0.5293869946066659,1.6755800075717848,0.3072067713776949,3.6834354108940346,2.374616098159192,2.6389246358886695,0.22946945802295168,1.1892253629175038,0.6809396786682131,0.050365333987960295,0.027417009058037872
0074-001-001,2019-20,Mainland Rural,0.8432939732318233,0.8464606640101306,1.7148882226019115,0.2320629026962085,11.903504624581489,3.74091965183751,3.578400928275245,0.2528313042816352,0.9677194559509308,0.5972229561908178,0.008141979332456998,0.022439212757842518
0075-001-003,2019-20,Mainland Rural,0.5604469725302507,0.48487506730958474,0.9596236075530076,0.18250159817653827,2.674695538877913,1.3003431080882166,1.14176894925117,0.1620500363016255,0.9596930932797125,0.33036731235572553,0.02583501990852145,0.016162807640191727
0077-001-001,2019-20,Mainland Rural,1.3382951526250866,1.0585668373836594,2.851378930015443,0.4160928755787377,4.1322066643348245,4.3556199469663115,3.098644516379022,0.24678983667318022,1.672437823423005,0.9802962798757074,0.14316816028505783,0.030266428168560653
0077-003-001,2019-20,Mainland Rural,1.2912172637490273,0.7452728925433822,2.5189993308470915,0.2512507002368153,9.867799848469723,5.203401823013545,5.548585416449376,0.3082777313780289,1.8343587838208053,1.1329323433572807,0.024518046421221802,0.045598237011789736
0078-001-001,2019-20,Mainland Rural,1.0067749338990506,0.9242874425115429,1.1743135824527002,0.11892918554001695,29.49170554077252,14.264278601621205,4.459694348990002,0.3121545401414899,0.5576959937755984,0.5765396443879315,0.013064747010793952,0.016519531446309695
0079-001-001,2019-20,Mainland Rural,0.4889916847592682,0.6499800449878522,0.8701362993358568,0.12828852576519184,8.050072382115085,3.785866045194686,2.2453844121324638,0.191395881346889,0.4287603062453499,0.37640888727046173,0.009606654675357682,0.014096412351849805
0080-001-001,2019-20,Mainland Rural,1.023158012676174,0.6104129378126322,1.3654203163106648,0.30963444053582767,9.963430728861761,4.0203675041378,3.501835051610243,0.266367124733353,1.1154439529104945,0.798037145128801,0.008975578756211914,0.028400098983213874
0081-001-001,2019-20,Mainland Rural,1.4374874715848303,1.0371558973697317,3.438685750078348,0.4020883962762789,10.618089262311324,6.1527643493227115,4.860193262708433,0.3189727057666822,2.6828621448242767,1.228727124179638,0.05091863672684482,0.0416969830030006
