i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
0072-003-001,2019-20,Mainland Other Urban,44065.455683840126,1140.0512966105828,5613.032415041037,29.41292068679982,55.221372470787124,255.57715180594738,25.567802404942757,58.22455027242657,3823.9957017548327,8214.960536087901,250.7958782576906,204.85179780271412
0073-001-001,2019-20,Mainland Rural,59197.360581876535,1383.9025591007141,7429.255246797296,39.91738212809067,89.46181625852262,325.8696466608544,35.49577669878592,60.22676817074456,4636.415870189927,12524.549676293562,368.4649274669917,257.11321642978083
0073-001-002,2019-20,Mainland Rural,33150.434432500355,844.0911562303781,4486.273457860735,24.576541710215594,43.12958553845812,195.13960451334341,19.23977045134796,44.72283366580301,3107.2795146441085,6251.835714995723,192.45073662952274,151.83791639540706
0074-001-001,2019-20,Mainland Rural,65663.10626225572,1529.8849078590727,3505.4781978368524,18.56503221569668,123.70073023773642,162.30680061865874,43.71476778845094,34.81968060979753,3663.9090365021875,16993.537666713855,478.3150880642578,302.537173180632
0075-001-003,2019-20,Mainland Rural,20008.49020560201,512.0495038056139,3090.5473419398772,14.600127854123063,30.474492412035456,153.55020006748697,12.536895969461524,25.431121930374363,1830.260289385211,4215.62060521823,128.31632311424545,93.2516971088885
0077-001-001,2019-20,Mainland Rural,41810.54659587345,1057.5461385101098,6180.047835538424,33.287430046299015,50.07342863577817,279.3794628136052,22.84695929299671,59.1311308217544,4881.5741054820255,7387.842958911539,232.88324659613073,186.74203231400742
0077-003-001,2019-20,Mainland Rural,69752.72654486238,1606.6183764892721,5116.853428737157,20.100056018945224,103.7765666286972,300.3438108815917,41.86499833787369,44.88443473041356,4809.457026624655,15277.34299521933,431.44262329274056,306.48975347855844
0078-001-001,2019-20,Mainland Rural,132257.86269339072,3033.7083183266623,1900.2556724171427,9.514334843201356,297.33483335955793,95.39753489086677,96.98854850894038,28.761987772823332,4025.83864291244,39651.12862265159,1093.7122487283557,633.3845592762261
0079-001-001,2019-20,Mainland Rural,43240.253994019964,1002.0062613964697,1759.4543731902415,10.263082061215346,83.09531430048075,73.01540893016106,28.80449102206164,19.682212597406636,2077.120195156192,11411.660029974671,318.70277799371274,199.2169127067599
0080-001-001,2019-20,Mainland Rural,59132.11902935418,1407.1413239518604,4381.984809229834,24.770755242866215,105.8539228356028,180.97079609968083,38.81558299127786,44.520391924249346,3173.502446494037,14496.658062548086,415.24959719254235,273.3164864749236
0081-001-001,2019-20,Mainland Rural,73294.98923731006,1718.78335240508,7764.124413142644,32.16707170210231,114.37541645881934,436.81617922442496,45.31813919432629,59.881422058490365,6186.132188922092,16226.085015803175,471.02148621003005,325.556362282212
0081-004-001,2019-20,Mainland Rural,34602.70103044578,814.3793601092508,1402.3655981591648,8.321647771934895,70.41102866465855,57.241804442147014,23.99476045659271,16.553203545630037,1696.3540861809151,9494.544468615353,267.0622098117604,163.58510957408024
0082-001-001,2019-20,Mainland Rural,59513.59187423486,1355.8826234351177,3069.9159362395058,13.355265135910194,110.5839340365435,172.59404826534643,38.9531636637563,25.946336539014528,3759.5994018152674,15330.260038147886,429.07288511759344,268.7526491570842
0082-003-001,2019-20,Mainland Other Urban,55592.96449179652,1424.1281793547648,5301.5560691112405,26.54437789205726,82.2395807051354,256.2556028996234,34.31859313113535,58.163514963043184,4310.180593993947,11859.565647721605,350.71694403344225,263.71638738979055
0082-003-002,2019-20,Dar Es Salaam,55122.399382911215,1411.509340831977,9587.080173445298,41.01382797228064,41.33066871216874,515.0433411787105,27.172762728864466,82.2019803187955,5489.009666830521,7610.632103718949,238.45649751631836,240.53942654027531
