,Energy,Protein,Iron,Calcium,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin D,Magnesium
63228.05875025119,41230.91587362326,1180.7069399832992,208.05117130978505,6210.301129113361,17355.663090230406,20.771848455928797,157.6221418201843,507.4479478911723,118.33902844582872,4238.871315910283
66732.61627913348,43241.2391668616,1233.3962390737831,217.63020358777922,6543.381149280444,18406.236052791864,21.744807181477274,165.85788697098633,545.625438000879,124.66844644374649,4408.839829102296
70237.17380801577,45242.151731105376,1285.4223579113032,227.17398399379925,6874.271727411585,19454.2200427136,22.710379473943398,173.99820690674005,584.1645009551515,130.93111748239093,4579.569254528801
73741.73133689805,47234.021930074174,1336.816487571963,236.6839363192369,7203.019983249018,20499.41535577513,23.668726990456836,182.04616956392437,623.0308926830509,137.12885712431137,4751.055301968179
77246.28886578033,49217.19354879449,1387.6073303476119,246.16140751202215,7529.673439534677,21541.66083266165,24.62001209447973,190.00472353521425,662.1941260568937,143.2634504885949,4923.291755388968
80750.84639466261,51191.988110995786,1437.8213817223968,255.60767054249698,7854.279519256403,22580.827030399574,25.56439622551769,197.87669573897207,701.6269491599479,149.33664149592812,5096.270937669463
84255.4039235449,53158.70691587047,1487.4831709931552,265.0239279184819,8176.885181562129,23616.810750637153,26.502038742100282,205.6647919751758,741.3049122047228,155.35012593725662,5269.984072177115
87759.96145242719,55117.63283427706,1536.6154679141955,274.4113155042511,8497.536660113732,24649.53061787965,27.433096109237816,213.371599356666,781.2060052797242,161.3055472509781,5444.421565676724
91264.51898130946,57069.0318998335,1585.239461251479,283.77090643376135,8816.279277890653,25678.92347973412,28.35772133917441,220.9995899349341,821.310353256551,167.20449422872835,5619.573230829847
94769.07651019175,59013.15472395039,1633.3749139275533,293.1037149856991,9133.157319294329,26704.94145671092,29.276063619260903,228.55112505304714,861.5999572179082,173.04850009323798,5795.4284619065365
98273.63403907404,60950.237755607355,1681.040298437822,302.4107003231315,9448.213944797162,27727.549507954107,30.188268076933895,236.0284600918472,902.0584739733991,178.8390425383448,5971.97637368227
101778.19156795631,62880.504410207126,1728.2529156923033,311.6927700700745,9761.491138181347,28746.723413222146,31.094475648005254,243.43374940571297,942.6710271120428,184.57754445446167,6149.205911715866
105282.7490968386,64804.16608217948,1775.0289997170298,320.9507836883931,10073.029677979135,29762.44809046988,31.994823020558695,250.7690512888966,983.4240442345714,190.2653751221277,6327.10593981393
108787.30662572088,66721.42305648833,1821.383810285333,330.1855556477035,10382.869127172278,30774.71618697691,32.88944263490669,258.03633287455864,1024.3051160995624,195.90385172250166,6505.665309407365
112291.86415460317,68632.46533020947,1867.3317151525357,339.3978583814258,10691.047836357153,31783.526893946728,33.77846272412614,265.23747489593455,1065.3028741824012,201.4942410494601,6684.872914371957
115796.42168348545,70537.47335758783,1912.8862633819717,348.5884250473894,10997.602957318324,32788.88494659997,34.66200738522447,272.37427627842175,1106.4068838656306,207.03776134992034,6864.717734419758
119300.97921236773,72436.6187233371,1958.0602508485078,357.7579520804711,11302.570463618074,33790.79977575247,35.54019667038458,279.44845852122216,1147.6075508297229,212.5355842201286,7045.188868919855
122805.53674125002,74330.06475731016,2002.865779050395,366.90710157310775,11605.985176984435,34789.28478800859,36.41314669426748,286.46166987528085,1188.8960388223236,217.98883653013772,7226.275563443796
126310.0942701323,76217.96709076455,2047.3143079235838,376.03650346333944,11907.880796849558,35784.356750227475,37.28096974940956,293.4154892880686,1230.2641970530854,223.39860232629923,7407.967229850553
129814.65179901458,78100.47417029485,2091.4167036237877,385.146757591201,12208.289933443026,36776.03526654561,38.143774430666866,300.3114301536569,1271.7044960881224,228.76592471896728,7590.2534620361475
133319.20932789685,79977.72772217297,2135.183281602297,394.23843557509207,12507.244141509074,37764.34232736849,39.00166576015302,307.1509438267005,1313.209970840867,234.09180770426065,7773.124047091491
136823.76685677914,81849.86317916239,2178.623845687783,403.3120825558333,12804.773955139266,38749.30192271723,39.854745314030026,313.9354229356155,1354.7741698667694,239.37721793137015,7956.568973338659
140328.32438566143,83717.01007644125,2221.7477236937375,412.3682188321186,13100.908923589372,39730.939711705745,40.70311135075123,320.6662045130737,1396.3911102115492,244.62308641608223,8140.578436127469
143832.88191454372,85579.29240957294,2264.563799704119,421.4073413463081,13395.677645984391,40709.28273457349,41.5468589347573,327.344572915167,1438.0552368882998,249.83031016678854,8325.142840858134
