i,t,m,0
0149-001-002,2019-20,Mainland Other Urban,107228.37965780376
0149-001-009,2019-20,Mainland Other Urban,40633.85442569106
0151-001-001,2019-20,Mainland Other Urban,37664.8281957447
0152-001-002,2019-20,Dar Es Salaam,14908.284344262265
0153-001-001,2019-20,Mainland Other Urban,68200.40147124487
0154-001-001,2019-20,Mainland Rural,43030.46883616179
0155-001-001,2019-20,Mainland Other Urban,31538.10417114394
0155-001-003,2019-20,Mainland Rural,22856.383815507084
0155-001-005,2019-20,Mainland Other Urban,14732.009258321932
0157-001-001,2019-20,Mainland Other Urban,21303.867376387465
0158-001-003,2019-20,Mainland Other Urban,36501.79909138122
0159-001-002,2019-20,Mainland Other Urban,65941.45996566257
0159-001-003,2019-20,Mainland Other Urban,31788.977681454355
0160-001-001,2019-20,Mainland Other Urban,16434.38530197618
0160-002-001,2019-20,Mainland Other Urban,30451.035985589744
0161-001-001,2019-20,Mainland Other Urban,29671.55151822504
0162-001-001,2019-20,Mainland Other Urban,25873.80994695915
0163-001-001,2019-20,Mainland Other Urban,27907.82639772678
0163-001-002,2019-20,Mainland Rural,24380.10743104903
0164-001-001,2019-20,Mainland Other Urban,17956.445263723297
0166-001-001,2019-20,Mainland Other Urban,33468.16959907621
0167-001-001,2019-20,Mainland Other Urban,27325.64810181262
0168-002-001,2019-20,Dar Es Salaam,49623.93493857229
0168-002-002,2019-20,Dar Es Salaam,36506.63813954234
0170-001-001,2019-20,Dar Es Salaam,30165.586719553925
0173-001-001,2019-20,Dar Es Salaam,45383.833599578815
0173-003-001,2019-20,Mainland Rural,17870.90051012575
0174-002-001,2019-20,Dar Es Salaam,24440.021787053152
0174-002-003,2019-20,Mainland Rural,43443.674198562636
0175-001-002,2019-20,Dar Es Salaam,13855.328157357359
0175-003-001,2019-20,Dar Es Salaam,54748.42513229558
0175-007-001,2019-20,Dar Es Salaam,71629.3727345977
0175-008-002,2019-20,Dar Es Salaam,46720.59142682415
0175-008-003,2019-20,Dar Es Salaam,34109.814074453054
0175-014-001,2019-20,Dar Es Salaam,33167.16987574727
0175-014-003,2019-20,Dar Es Salaam,41054.89332733378
0177-001-001,2019-20,Dar Es Salaam,44732.51744994162
0179-001-001,2019-20,Dar Es Salaam,22867.775597691572
0179-001-003,2019-20,Dar Es Salaam,27915.111930619532
0180-001-001,2019-20,Dar Es Salaam,75990.70440552282
0180-001-007,2019-20,Mainland Rural,38860.523748188614
0181-001-001,2019-20,Mainland Rural,43567.07959112421
0183-002-001,2019-20,Mainland Other Urban,23375.943377067517
0183-002-003,2019-20,Mainland Rural,18572.82755997429
0184-001-001,2019-20,Dar Es Salaam,51050.27851548769
0185-001-002,2019-20,Dar Es Salaam,20254.121751509785
0186-001-001,2019-20,Dar Es Salaam,25008.965588379728
0186-001-005,2019-20,Dar Es Salaam,25501.201943599543
0186-004-001,2019-20,Dar Es Salaam,25424.23178531978
0187-001-001,2019-20,Dar Es Salaam,33534.63128880263
0187-001-003,2019-20,Dar Es Salaam,23639.776775874965
0188-001-001,2019-20,Mainland Rural,39020.63518241983
0189-001-001,2019-20,Dar Es Salaam,43925.43751324895
0192-001-002,2019-20,Dar Es Salaam,62327.893498589954
0193-001-001,2019-20,Dar Es Salaam,18331.50978197323
0194-001-001,2019-20,Dar Es Salaam,41659.44583772516
0194-007-002,2019-20,Dar Es Salaam,20347.972651998232
0195-001-001,2019-20,Dar Es Salaam,44556.32088613727
0195-001-003,2019-20,Dar Es Salaam,28655.294580852926
0195-006-001,2019-20,Dar Es Salaam,38617.44048367496
0196-001-001,2019-20,Dar Es Salaam,29346.12158390291
0197-001-001,2019-20,Mainland Rural,25986.95691584344
0198-001-001,2019-20,Dar Es Salaam,41751.70436872697
0199-001-001,2019-20,Mainland Rural,28902.157630667592
0199-001-002,2019-20,Dar Es Salaam,72550.08869442041
0199-008-001,2019-20,Mainland Rural,24176.305654981246
0199-008-003,2019-20,Mainland Rural,30852.461477525016
0200-001-001,2019-20,Dar Es Salaam,49274.15718796471
0201-001-001,2019-20,Dar Es Salaam,24287.341369456597
0202-002-001,2019-20,Dar Es Salaam,38348.77918917899
0203-001-001,2019-20,Dar Es Salaam,46875.26224135346
0203-001-002,2019-20,Dar Es Salaam,19057.13614474952
0204-001-001,2019-20,Dar Es Salaam,69547.86406527396
0204-001-009,2019-20,Mainland Other Urban,20241.696345814333
0204-008-001,2019-20,Dar Es Salaam,25959.511121939406
0205-001-001,2019-20,Dar Es Salaam,34814.8009276079
0208-004-001,2019-20,Mainland Rural,16718.483409032786
0210-002-002,2019-20,Mainland Other Urban,18306.858212577637
0211-001-001,2019-20,Dar Es Salaam,36105.41834198267
0211-006-001,2019-20,Dar Es Salaam,37570.28814406435
0212-001-001,2019-20,Dar Es Salaam,27874.717750616102
0214-001-001,2019-20,Mainland Other Urban,81930.15893176175
0215-001-001,2019-20,Mainland Rural,34720.42017313449
0216-001-001,2019-20,Dar Es Salaam,50766.04352824807
0216-006-001,2019-20,Dar Es Salaam,27148.36430067078
0217-002-001,2019-20,Mainland Other Urban,37722.336642478294
0218-001-001,2019-20,Mainland Other Urban,27776.509008268444
0218-001-002,2019-20,Mainland Rural,24358.333683820663
0218-001-003,2019-20,Dar Es Salaam,53350.532070117086
0219-001-001,2019-20,Mainland Other Urban,50994.147152262696
0219-005-001,2019-20,Mainland Other Urban,28256.27523326043
0220-001-001,2019-20,Dar Es Salaam,45916.49256421783
0220-001-003,2019-20,Dar Es Salaam,23330.65848760433
0220-001-006,2019-20,Dar Es Salaam,27804.180924208817
0220-001-007,2019-20,Dar Es Salaam,44298.03726919324
0220-001-008,2019-20,Dar Es Salaam,21929.115008410467
0222-001-001,2019-20,Dar Es Salaam,54033.86102287671
0223-001-001,2019-20,Mainland Rural,23056.07194019464
0224-001-001,2019-20,Mainland Rural,27948.678561886805
0225-001-001,2019-20,Dar Es Salaam,37356.60125084843
0225-001-003,2019-20,Dar Es Salaam,34844.07852559648
0226-001-001,2019-20,Dar Es Salaam,53412.359277702555
0228-001-003,2019-20,Dar Es Salaam,25683.366466683456
0228-001-004,2019-20,Dar Es Salaam,18085.88575141976
0228-001-005,2019-20,Dar Es Salaam,33815.113729966055
0230-001-001,2019-20,Dar Es Salaam,60212.37391610884
0231-001-001,2019-20,Dar Es Salaam,41488.18453341555
0232-001-001,2019-20,Dar Es Salaam,29866.96997799165
0232-001-002,2019-20,Dar Es Salaam,34110.06950399675
0233-001-001,2019-20,Dar Es Salaam,30966.86299821466
0235-001-002,2019-20,Dar Es Salaam,21993.417461652352
0236-005-001,2019-20,Mainland Other Urban,37670.24341020247
0238-001-001,2019-20,Dar Es Salaam,15481.495773031404
0239-001-001,2019-20,Dar Es Salaam,44965.233249606856
0239-001-004,2019-20,Mainland Rural,20678.03242677833
0239-106-001,2019-20,Dar Es Salaam,27112.985256360123
0241-001-001,2019-20,Dar Es Salaam,56366.60888336682
0242-001-001,2019-20,Dar Es Salaam,55221.13553390914
0243-001-001,2019-20,Mainland Rural,15783.10661960586
0244-001-001,2019-20,Dar Es Salaam,52077.10893957858
0247-001-001,2019-20,Dar Es Salaam,52488.5508091135
0249-001-001,2019-20,Mainland Rural,78507.76844373759
0251-001-001,2019-20,Mainland Other Urban,54564.32181986535
0252-001-001,2019-20,Dar Es Salaam,39913.61881293891
0253-001-001,2019-20,Dar Es Salaam,34267.604242006244
0254-001-001,2019-20,Dar Es Salaam,40180.87088992977
0255-001-001,2019-20,Dar Es Salaam,46674.313196931
0255-001-009,2019-20,Mainland Rural,27447.869797938827
0257-001-001,2019-20,Dar Es Salaam,40183.57097197019
0259-001-001,2019-20,Dar Es Salaam,21873.497006401692
0259-004-001,2019-20,Dar Es Salaam,21699.0034524327
0260-001-001,2019-20,Mainland Rural,26178.251025794674
0261-001-001,2019-20,Dar Es Salaam,31470.759652981495
0261-001-002,2019-20,Dar Es Salaam,30412.34582381441
